Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,date,company,slope,r_squared,std_error,stdev,up_percentage,down_percentage,end_day_target_percentage,end_day_target_value,buy_price,ticker,weekday,count_of_original_values
0.0,0.0,13.0,2024-10-23,Cargotec Corporation,0.0133742706349704,0.4503954183543427,0.0019399221443024,0.3480350993656568,0.4166666666666667,0.5833333333333334,0.0188679245283018,54.0,53.70000076293945,CGCBV.HE,Wednesday,0
1.0,1.0,20.0,2024-10-23,Eezy Oyj,-0.0002400664562448,0.4801333703806612,3.280065449196117e-05,0.0060506280387412,0.0,1.0,-0.0036496315432303,1.3650000095367432,1.350000023841858,EEZY.HE,Wednesday,0
2.0,2.0,28.0,2024-10-23,Finnair Oyj,-0.0003238687584154,0.5969875075102854,3.494070731041733e-05,0.0073204259931042,0.15,0.85,-0.0003991881493171,2.504499912261963,2.470999956130981,FIA1S.HE,Wednesday,0
3.0,3.0,30.0,2024-10-23,Fortum Oyj,-0.0005373700654119,0.255226013940026,0.0001205339124933,0.018576372916539,0.3333333333333333,0.6666666666666666,0.0021428380693708,14.029999732971191,14.19499969482422,FORTUM.HE,Wednesday,0
4.0,4.0,35.0,2024-10-23,Huhtamäki Oyj,-0.0009236110253743,0.2001486079621095,0.0002424395545055,0.0360547709802123,0.1166666666666666,0.8833333333333333,-0.0011648490200816,34.29999923706055,34.65999984741211,HUH1V.HE,Wednesday,0
5.0,5.0,40.0,2024-10-23,Kamux Oyj,-0.00028230168151,0.2250159261864028,6.879220469516551e-05,0.0103933787957725,0.0833333333333333,0.9166666666666666,-0.0303447986471241,3.515000104904175,3.5199999809265137,KAMUX.HE,Wednesday,0
6.0,6.0,42.0,2024-10-23,Kesko Oyj,0.000575160847733,0.3484638288111654,0.0001032679918808,0.0170161138529181,0.2666666666666666,0.7333333333333333,-0.0083868949740377,17.735000610351562,17.950000762939453,KESKOB.HE,Wednesday,0
7.0,7.0,44.0,2024-10-23,Kojamo Oyj,-0.0011514383344128,0.4347631920780488,0.0001723913698222,0.0304974985600669,0.0666666666666666,0.9333333333333332,0.0038230309593629,9.1899995803833,9.145000457763672,KOJAMO.HE,Wednesday,0
8.0,8.0,46.0,2024-10-23,Konecranes Plc,0.0052653527584431,0.399163685413589,0.0008482347310121,0.145546538229069,0.1833333333333333,0.8166666666666667,0.0060744348541801,66.25,66.55000305175781,KCR.HE,Wednesday,0
9.0,9.0,51.0,2024-10-23,Metso Oyj,2.0846541506212663e-05,0.003104937228955,4.904766401921583e-05,0.0065336749127477,0.25,0.75,-0.0027542398351597,9.413999557495115,9.468000411987305,METSO.HE,Wednesday,0
10.0,10.0,54.0,2024-10-23,Neste Oyj,0.000654206006982,0.0914090356330383,0.0002708258868558,0.0377893901816996,0.4,0.6,-0.0091027530741889,15.239999771118164,15.3100004196167,NESTE.HE,Wednesday,0
11.0,11.0,56.0,2024-10-23,Nokia Oyj,-5.497116286014642e-05,0.0398767279369493,3.541805173313076e-05,0.0048075641297237,0.4333333333333333,0.5666666666666667,0.000345691834739,4.341000080108643,4.311500072479248,NOKIA.HE,Wednesday,0
12.0,12.0,57.0,2024-10-23,Nokian Renkaat Oyj,-0.0005797762180507,0.4620294001200199,8.214684068245229e-05,0.014896200554827,0.2166666666666666,0.7833333333333333,-0.0254375106272929,8.35200023651123,8.472000122070312,TYRES.HE,Wednesday,0
13.0,13.0,59.0,2024-10-23,Nurminen Logistics Oyj,4.890203873426856e-05,0.3797096972017733,8.20700352877972e-06,0.0013859610990615,0.0333333333333333,0.9666666666666668,-0.0100250085560303,0.7900000214576721,0.7919999957084656,NLG1V.HE,Wednesday,0
14.0,14.0,64.0,2024-10-23,Orion Oyj,-0.0074951497274294,0.7470921291241642,0.0005726119516425,0.1514408896186483,0.1666666666666666,0.8333333333333334,-0.0109473780581825,46.97999954223633,46.88999938964844,ORNBV.HE,Wednesday,0
15.0,15.0,66.0,2024-10-23,Outokumpu Oyj,-0.0001305928459496,0.254275101943765,2.9365864649297244e-05,0.0045229041840171,0.1333333333333333,0.8666666666666667,-0.0012214310850935,3.2709999084472656,3.2890000343322754,OUT1V.HE,Wednesday,0
16.0,16.0,87.0,2024-10-23,Siili Solutions Oyj,-0.0016576811087466,0.1644670878462121,0.0004906019510049,0.0713857302524471,0.0666666666666666,0.9333333333333332,-0.0439882966545119,6.519999980926514,6.460000038146973,SIILI.HE,Wednesday,0
17.0,17.0,92.0,2024-10-23,SSAB AB (publ),0.0008342058468474,0.3878897952458192,0.000137600453586,0.0233920870817441,0.4166666666666667,0.5833333333333334,-0.0061176524442785,4.223999977111816,4.26800012588501,SSABBH.HE,Wednesday,0
18.0,18.0,94.0,2024-10-23,Stora Enso Oyj,-8.711053053847151e-05,0.0174370125871423,8.586196467899674e-05,0.0115208504170562,0.1666666666666666,0.8333333333333334,-0.0055658133050663,10.720000267028809,10.8149995803833,STERV.HE,Wednesday,0
19.0,19.0,102.0,2024-10-23,TietoEVRY Oyj,-0.000854939214055,0.3534046640957031,0.0001518453112759,0.0251159158240723,0.1166666666666666,0.8833333333333333,-0.0055991253108785,17.760000228881836,17.850000381469727,TIETO.HE,Wednesday,0
20.0,20.0,103.0,2024-10-23,Tokmanni Group Oyj,-0.0003915007692736,0.0864664811915569,0.0001670925064596,0.0232519107185192,0.0666666666666666,0.9333333333333332,0.0,10.449999809265137,10.449999809265137,TOKMAN.HE,Wednesday,0
