,date,company,slope,r_squared,std_error,stdev,up_percentage,down_percentage,ticker,weekday
40,2024-11-28,Metsä Board Oyj,-5.462766521736859e-05,0.10810315645955076,2.0603299154547884e-05,0.0029016389437560943,0.0,1.0,METSB.HE,Thursday
41,2024-11-28,Musti Group Oyj,,,,,0.0,1.0,MUSTI.HE,Thursday
42,2024-11-28,Neste Oyj,0.00016434908774403206,0.15231051204118523,5.091042947480409e-05,0.007354485200636154,0.05,0.95,NESTE.HE,Thursday
43,2024-11-28,Nokia Oyj,3.079954005837871e-05,0.13293569772837938,1.0328448248088914e-05,0.0014752762165531237,0.05,0.95,NOKIA.HE,Thursday
44,2024-11-28,Nokian Renkaat Oyj,-7.474183307551251e-05,0.07888750580363026,3.353528273104502e-05,0.004647394631897561,0.03333333333333333,0.9666666666666667,TYRES.HE,Thursday
45,2024-11-28,Nordea Bank Abp,8.127443589711062e-05,0.22658200219326652,1.9716707745063885e-05,0.0029818869782928443,0.03333333333333333,0.9666666666666667,NDA-FI.HE,Thursday
46,2024-11-28,Nurminen Logistics Oyj,3.278685397789126e-05,0.0491803278688523,1.8929498970016504e-05,0.002581986435095115,0.016666666666666666,0.9833333333333333,NLG1V.HE,Thursday
47,2024-11-28,Olvi Oyj,,,,,0.0,1.0,OLVAS.HE,Thursday
48,2024-11-28,Oma Säästöpankki Oyj,0.0006112803284013625,0.22923034176160048,0.0001471813144812128,0.022297403278343068,0.016666666666666666,0.9833333333333333,OMASP.HE,Thursday
49,2024-11-28,Optomed Oyj,-0.00032995263216527976,0.10137846862865645,0.00012898914000895062,0.018097919560247894,0.0,1.0,OPTOMED.HE,Thursday
50,2024-11-28,Oriola Oyj,,,,,0.0,1.0,OKDBV.HE,Thursday
51,2024-11-28,Orion Oyj,0.0007363098136051789,0.10180277201664967,0.00028717897785913705,0.04030238121720449,0.016666666666666666,0.9833333333333333,ORNBV.HE,Thursday
52,2024-11-28,Orthex Oyj,0.00025784915670748384,0.09669352597943895,0.00010348337429858991,0.014481612966795884,0.016666666666666666,0.9833333333333333,ORTHEX.HE,Thursday
53,2024-11-28,Outokumpu Oyj,5.965538242188517e-05,0.11192181160833739,2.2064997043142927e-05,0.0031141690787079737,0.03333333333333333,0.9666666666666667,OUT1V.HE,Thursday
54,2024-11-28,Ovaro Kiinteistösijoitus Oyj,,,,,0.0,1.0,OVARO.HE,Thursday
55,2024-11-28,Panostaja Oyj,-1.6393720126542887e-06,0.04918032786885246,9.464918728078922e-07,0.00012910163023272143,0.0,1.0,PNA1V.HE,Thursday
56,2024-11-28,Pihlajalinna Oyj,0.0,0.0,0.0,0.0,0.0,1.0,PIHLIS.HE,Thursday
57,2024-11-28,Ponsse Oyj,,,,,0.0,1.0,PON1V.HE,Thursday
58,2024-11-28,Purmo Group Oyj,0.0,0.0,0.0,0.0,0.0,1.0,PURMO.HE,Thursday
59,2024-11-28,Puuilo Oyj,6.446382607907579e-05,0.09669352597943906,2.587146038421222e-05,0.0036204895589209553,0.016666666666666666,0.9833333333333333,PUUILO.HE,Thursday
60,2024-11-28,QPR Software Oyj,,,,,0.0,1.0,QPR1V.HE,Thursday
61,2024-11-28,Qt Group Oyj,0.002417338149485968,0.09669352597943853,0.0009701575592636298,0.13576525103954445,0.016666666666666666,0.9833333333333333,QTCOM.HE,Thursday
62,2024-11-28,Raisio plc,0.0,0.0,0.0,0.0,0.0,1.0,RAIVV.HE,Thursday
63,2024-11-28,Rapala VMC Corporation,,,,,0.0,1.0,RAP1V.HE,Thursday
64,2024-11-28,Raute Oyj,,,,,0.0,1.0,RAUTE.HE,Thursday
65,2024-11-28,Relais Group Oyj,,,,0.050710853406605125,0.016666666666666666,0.9833333333333333,RELAIS.HE,Thursday
66,2024-11-28,Remedy Entertainment Oyj,0.0012775722958373176,0.19686838871527718,0.00033882609881496085,0.05028603714398174,0.05,0.95,REMEDY.HE,Thursday
67,2024-11-28,Revenio Group Oyj,0.00022951032294601687,0.04918032786885256,0.00013250784673468066,0.018074089723903054,0.016666666666666666,0.9833333333333333,REG1V.HE,Thursday
68,2024-11-28,Robit Oyj,3.223114458843548e-05,0.09669352597943837,1.2935421787323781e-05,0.0018102016208494858,0.016666666666666666,0.9833333333333333,ROBIT.HE,Thursday
69,2024-11-28,Sampo Oyj,9.392878518365561e-05,0.13923331163878522,3.066591008780585e-05,0.004396196019699939,0.05,0.95,SAMPO.HE,Thursday
70,2024-11-28,Sanoma Oyj,,,,,0.0,1.0,SANOMA.HE,Thursday
71,2024-11-28,Scanfil Oyj,,,,,0.0,1.0,SCANFL.HE,Thursday
72,2024-11-28,Siili Solutions Oyj,,,,,0.0,1.0,SIILI.HE,Thursday
73,2024-11-28,Sotkamo Silver AB,,,,,0.0,1.0,SOSI1.HE,Thursday
74,2024-11-28,SRV Yhtiöt Oyj,,,,,0.0,1.0,SRV1V.HE,Thursday
75,2024-11-28,SSAB AB (publ),-2.72862942359884e-05,0.0630197624686231,1.3815206973041212e-05,0.0018982617494432811,0.03333333333333333,0.9666666666666667,SSABBH.HE,Thursday
76,2024-11-28,SSH Communications Security Oyj,-8.196713494472814e-06,0.04918032786885234,4.732374742504124e-06,0.0006454966087737786,0.0,1.0,SSH1V.HE,Thursday
77,2024-11-28,Stora Enso Oyj,-3.84539026258786e-05,0.0606962161329981,1.9863174256102535e-05,0.0027258975740881205,0.05,0.95,STERV.HE,Thursday
78,2024-11-28,Taaleri Oyj,-0.0001425383255924904,0.14253959433175836,4.590467683366836e-05,0.006593466640825379,0.0,1.0,TAALA.HE,Thursday
79,2024-11-28,Teleste Oyj,,,,,0.0,1.0,TLT1V.HE,Thursday
80,2024-11-28,Telia Company AB (publ),2.834140409791294e-05,0.1708512411840175,8.198124775609787e-06,0.0011974633027407025,0.03333333333333333,0.9666666666666667,TELIA1.HE,Thursday
81,2024-11-28,Terveystalo Oyj,,,,,0.0,1.0,TTALO.HE,Thursday
82,2024-11-28,TietoEVRY Oyj,0.00042677781554717887,0.254215959888433,9.598270292521782e-05,0.014782583799738019,0.05,0.95,TIETO.HE,Thursday
83,2024-11-28,Tokmanni Group Oyj,0.00016977326609618666,0.2256615476742896,4.1294474023122236e-05,0.006241521087813946,0.05,0.95,TOKMAN.HE,Thursday
84,2024-11-28,Trainers' House Oyj,0.00014754123375064035,0.04918032786885246,8.51829710225017e-05,0.011618969737634226,0.016666666666666666,0.9833333333333333,TRH1V.HE,Thursday
85,2024-11-28,Tulikivi Corporation,,,,,0.0,1.0,TULAV.HE,Thursday
86,2024-11-28,UPM-Kymmene Oyj,-8.808463505487634e-05,0.03618607587390024,5.969143449846623e-05,0.008086849006871786,0.016666666666666666,0.9833333333333333,UPM.HE,Thursday
87,2024-11-28,Vaisala Oyj,0.0,0.0,0.0,0.0,0.0,1.0,VAIAS.HE,Thursday
88,2024-11-28,Valmet Oyj,-5.222648075800135e-05,0.010732781164929525,6.583812244863609e-05,0.008804091442978992,0.03333333333333333,0.9666666666666667,VALMT.HE,Thursday
89,2024-11-28,Verkkokauppa.com Oyj,,,,,0.0,1.0,VERK.HE,Thursday
90,2024-11-28,Viking Line Abp,,,,,0.0,1.0,VIK1V.HE,Thursday
91,2024-11-28,Wetteri Oyj,,,,,0.0,1.0,WETTERI.HE,Thursday
92,2024-11-28,WithSecure Oyj,0.0,0.0,0.0,0.0,0.0,1.0,WITH.HE,Thursday
93,2024-11-28,Wulff-Yhtiöt Oyj,,,,,0.0,1.0,WUF1V.HE,Thursday
94,2024-11-28,Wärtsilä Oyj Abp,0.0001255962311410016,0.13890784626612046,4.106048148777475e-05,0.005885225908677657,0.05,0.95,WRT1V.HE,Thursday
95,2024-11-28,YIT Oyj,2.850811823966537e-05,0.14253959433175925,9.181081295070204e-06,0.0013187142884176133,0.016666666666666666,0.9833333333333333,YIT.HE,Thursday
96,2024-11-28,Ålandsbanken Abp,,,,,0.0,1.0,ALBBV.HE,Thursday
